ID,Name,Description,Event Type,Event Type List,Guest ID,Dangerous,Guest Amount,Protagonist ID,Antagonist ID,Adventure Character ID,Image ID,Chapter,Authorship Resource
EV_001,A fall throught the Rabbit hole,"Alice spots, while on a <a class=""salsah-link"" href=""IRI:L_001:IRI"">riverbank</a> with her sister, a White Rabbit with a pocket watch and follows him down a <a class=""salsah-link"" href=""IRI:L_002:IRI"">Rabbit Hole </a>.",Adventure,Inciting Incident,,yes,,,,"CH_001, CH_002",,Wonderland_1,"Daniela Subotic, Noémi Villars-Amberg"
EV_002,The Hall of Doors,"Alice finds herself in a <a class=""salsah-link"" href=""IRI:L_011:IRI"">hall with many doors</a> of different sizes, all locked. She finds a key that opens a door to a beautiful garden but is too small to enter.",Adventure,Exploration,,no,,,,CH_001,I_003,Wonderland_1,"Daniela Subotic, Noémi Villars-Amberg"
EV_003,Swim in the Pool of Tears,"Alice, having cried while a giant, swims through a <a class=""salsah-link"" href=""IRI:L_008:IRI"">pool of her own tears</a>.",Adventure,Exploration,,yes,,,,CH_001,"I_007, I_008",Wonderland_2,"Daniela Subotic, Noémi Villars-Amberg"
EV_005,Giant in the House,"Alice grows giant inside the  <a class=""salsah-link"" href=""IRI:L_004:IRI"">White Rabbit's house</a> after eating a mysterious cake.",Adventure,Physical Transformation,,yes,,,,CH_001,I_011,Wonderland_4,"Daniela Subotic, Noémi Villars-Amberg"
EV_007,Chaotic Kitchen,Alice visits the Duchess' chaotic house.,Adventure,Exploration,,no,,,,CH_001,I_021,Wonderland_6,"Daniela Subotic, Noémi Villars-Amberg"
EV_012,Dream or Reality?,"Alice wakes up on the <a class=""salsah-link"" href=""IRI:L_001:IRI"">riverbank</a> and realizes her adventures in Wonderland were just a dream.",Adventure,Resolution,,no,,,,CH_001,,Wonderland_12,"Daniela Subotic, Noémi Villars-Amberg"
EV_013,Mirror World,"Alice explores the <a class=""salsah-link"" href=""IRI:L_023:IRI"">house on the other side of the mirror</a> and finds everything to be a reversed version of <a class=""salsah-link"" href=""IRI:L_019:IRI"">her house</a>.",Adventure,Exploration,,no,,,,CH_001,"I_046, I_047",Looking-Glass_1,"Daniela Subotic, Noémi Villars-Amberg"
EV_015,Chessboard Quest,Alice learns she is a pawn in a giant chess game and sets out to become a queen.,Adventure,Role Change,,no,,,,CH_001,I_054,Looking-Glass_2,"Daniela Subotic, Noémi Villars-Amberg"
EV_021,The final chessboard square,"Alice reaches the <a class=""salsah-link"" href=""IRI:L_032:IRI"">final square</a> of the chessboard and becomes a queen.",Adventure,Role Change,,no,,,,CH_001,I_084,Looking-Glass_9,"Daniela Subotic, Noémi Villars-Amberg"
EV_024,Back to reality,"Alice wakes up in her <a class=""salsah-link"" href=""IRI:L_019:IRI"">home</a> with the kitten in her lap, and realizes her adventures through the looking-glass were just a dream.",Adventure,Resolution,,no,,,,CH_001,I_092,Looking-Glass_12,"Daniela Subotic, Noémi Villars-Amberg"
EV_032,Bottle drinking,Alice drinks from a bottle labeled 'Drink Me' and shrinks to a tiny size.,Adventure,Physical Transformation,,yes,,,,CH_001,I_004,Wonderland_1,"Daniela Subotic, Noémi Villars-Amberg"
EV_033,Cake eating,Alice eats a cake labeled 'Eat Me' and grows to an enormous size.,Adventure,Physical Transformation,,yes,,,,CH_001,,Wonderland_1,"Daniela Subotic, Noémi Villars-Amberg"
EV_035,Mushroom fiest,"Alice eats different pieces of a <a class=""salsah-link"" href=""IRI:L_014:IRI"">mushroom</a> to change her size.",Adventure,Physical Transformation,,yes,,,,CH_001,,Wonderland_5,"Daniela Subotic, Noémi Villars-Amberg"
EV_039,Forgetting identities,"Alice enters the <a class=""salsah-link"" href=""IRI:L_017:IRI"">Woods where things have no name</a> and forgets who she is. ",Adventure,Exploration,,yes,,,,,I_060,Looking-Glass_3,"Daniela Subotic, Noémi Villars-Amberg"
EV_025,Tea time at DaSCHland,Alice drinks tea in the Tea Room.,Alternative,Exploration,,,1,,,,,Wonderland_7,"Daniela Subotic, Noémi Villars-Amberg"
EV_040,DaSCH Mirror Interface,"Alice explores the DaSCH mirror interface, where each dataset and query response is a reversed version of the real-world data.",Alternative,Exploration,,,,,,,,Looking-Glass_1,"Daniela Subotic, Noémi Villars-Amberg"
EV_041,DaSCH Query Challenge,"Alice is quizzed by the Red Node and White Interface on the structure of DaSCHland's metadata and data streams, struggling to keep up with the nonsensical logic.",Alternative,Challenge,,,3,,,,,Looking-Glass_10,"Daniela Subotic, Noémi Villars-Amberg"
EV_042,Back to Data Reality,"Alice wakes up from her DaSCHland journey, realizing her time spent navigating the strange system was a simulation of complex data relationships.",Alternative,Resolution,,,,,,,,Wonderland_12,"Daniela Subotic, Noémi Villars-Amberg"
EV_043,Chaotic DaSCH Dinner,"Queen Alice attends a chaotic dinner party in DaSCHland, where the Red Node and White Interface cause data packets to overlap, creating a frenzy of mismatched metadata.",Alternative,Major Incident,,,3,,,,,"Looking-Glass_10, Looking-Glass_11","Daniela Subotic, Noémi Villars-Amberg"
EV_044,DaSCH System Shutdown,"Alice grabs the Red Node, which suddenly transforms into her home system's glitchy black kitten, and the DaSCH interface collapses as Alice wakes from the simulation.",Alternative,Confrontation and Transformation,,,2,,,,,Looking-Glass_12,"Daniela Subotic, Noémi Villars-Amberg"
EV_045,Talking Data Entities,"Around the DaSCH digital environment, Alice encounters datasets personified as talking data entities, who critique her data management and input methods.",Alternative,Confrontation,,,10,,,,,,"Daniela Subotic, Noémi Villars-Amberg"
EV_046,DaSCHboard Quest,"Alice learns she is part of a larger dataset processing system in DaSCHland, where she must navigate through different data tables to rise in the system's hierarchy.",Alternative,Role Change,,,,,,,,,"Daniela Subotic, Noémi Villars-Amberg"
EV_047,Forgotten Data,"Alice enters the DaSCH “Null Zone,” where all metadata and files lose their names, causing Alice to forget her role within the dataset and struggle with memory loss.",Alternative,Exploration,,,,,,,,Looking-Glass_3,"Daniela Subotic, Noémi Villars-Amberg"
EV_048,Twin Dataset Argument,"In DaSCHland, Alice encounters two identical datasets, Tweedledum and Tweedledee, who engage in a nonsensical debate over a corrupt file that both claim ownership of.",Alternative,Confrontation,,,3,,,,,Looking-Glass_4,"Daniela Subotic, Noémi Villars-Amberg"
EV_049,DaSCH Entity Assistance,"Alice is helped by the White Algorithm, who shares stories of failed data models and helps her refine her search queries within the DaSCH environment.",Alternative,Assistance,,,2,,,,,Looking-Glass_8,"Daniela Subotic, Noémi Villars-Amberg"
EV_050,The Final Data Node,"Alice reaches the final node of DaSCHland's data architecture and becomes the administrator, gaining full control of the dataset’s structure and flow.",Alternative,Role Change,,,,,,,,Looking-Glass_9,"Daniela Subotic, Noémi Villars-Amberg"
EV_051,DaSCHland Banquet Breakdown,"Alice attends a disorganized data synchronization event in DaSCHland, where the Red Node and White Interface attempt to integrate data streams but create chaos.",Alternative,Encounter,,,3,,,,,Looking-Glass_9,"Daniela Subotic, Noémi Villars-Amberg"
EV_011,Trial of the Tarts,"Alice attends a trial in a <a class=""salsah-link"" href=""IRI:L_016:IRI"">courtroom</a> where the Knave of Hearts is accused of stealing the Queen of Hearts’s tarts.",Conflict,Major Incident,,,,CH_019,CH_006,,I_041,Wonderland_11,"Daniela Subotic, Noémi Villars-Amberg"
EV_014,Talking Flowers,"Around the <a class=""salsah-link"" href=""IRI:L_023:IRI"">house</a>, in the <a class=""salsah-link"" href=""IRI:L_012:IRI"">garden</a>, Alice encounters flowers that can talk and criticize her.",Conflict,Confrontation,,,,CH_001,CH_043,,I_052,Looking-Glass_2,"Daniela Subotic, Noémi Villars-Amberg"
